Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 90, Reproduction Chance: 100
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 89, Reproduction Chance: 72
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 85, Reproduction Chance: 0
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 92, Reproduction Chance: 65
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 92, Reproduction Chance: 50
Age: 11, Disease A: False, Disease B: False, Immunity A: True, Survival Chance: 94, Reproduction Chance: 11
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 99, Reproduction Chance: 96
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 96, Reproduction Chance: 70
Age: 11, Disease A: False, Disease B: False, Immunity A: True, Survival Chance: 82, Reproduction Chance: 58
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 94, Reproduction Chance: 90
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 90, Reproduction Chance: 100
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 87, Reproduction Chance: 5
Age: 11, Disease A: False, Disease B: False, Immunity A: True, Survival Chance: 96, Reproduction Chance: 60
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 96, Reproduction Chance: 13
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 100, Reproduction Chance: 34
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 90, Reproduction Chance: 100
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 97, Reproduction Chance: 0
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 93, Reproduction Chance: 18
Age: 11, Disease A: False, Disease B: False, Immunity A: True, Survival Chance: 95, Reproduction Chance: 19
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 86, Reproduction Chance: 19
Age: 11, Disease A: False, Disease B: False, Immunity A: False, Survival Chance: 90, Reproduction Chance: 100
Age: 11, Disease A: True, Disease B: False, Immunity A: True, Survival Chance: 92, Reproduction Chance: 10
